Species,Code,Conditions_Explained,Day,Replicate,Abundance,Relative_Abundance,Sum
Blautia obeum,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,30116,0.425613703,70759
Collinsella aerofaciens,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,4446,0.062832997,70759
Escherichia coli,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,21547,0.3045125,70759
Fusicatenibacter saccharivorans,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,0,0,70759
Parabacteroides distasonis,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,4,5.65299E-05,70759
Parabacteroides merdae,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,0,0,70759
Roseburia faecis,AAD14B5_S23_L001,Mix-14_C.difficile,14,5,0,0,70759
Bacteroides caccae,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,18746,0.297489447,63014
Bacteroides dorei,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
Bacteroides ovatus,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
Bacteroides thetaiotaomicron,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,118,0.0018726,63014
Bacteroides uniformis,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
Bacteroides vulgatus,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
Bifidobacterium longum,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,6301,0.099993652,63014
Blautia obeum,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,5865,0.093074555,63014
Collinsella aerofaciens,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,12739,0.202161424,63014
Escherichia coli,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,19244,0.305392452,63014
Fusicatenibacter saccharivorans,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
Parabacteroides distasonis,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,1,1.58695E-05,63014
Parabacteroides merdae,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
Roseburia faecis,AAD14B6_S24_L001,Mix-14_C.difficile,14,6,0,0,63014
